,time_period,rainfall,mean_temperature,disease_cases,population,parent,location,Cases,E,month,ID_year,ID_spat
40,2003-11,8.461,21.04,0.0,63466.8067801339,-,Bokeo,0.0,63466.8067801339,11,2003,Bokeo
41,2003-12,6.051,18.46,0.0,63466.8067801339,-,Bokeo,0.0,63466.8067801339,12,2003,Bokeo
42,2004-01,22.702,18.59,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,1,2004,Bokeo
43,2004-02,19.846,20.29,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,2,2004,Bokeo
44,2004-03,19.357,25.36,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,3,2004,Bokeo
45,2004-04,194.375,24.64,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,4,2004,Bokeo
46,2004-05,446.167,23.76,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,5,2004,Bokeo
47,2004-06,303.529,23.9,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,6,2004,Bokeo
48,2004-07,357.886,23.53,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,7,2004,Bokeo
49,2004-08,389.122,23.55,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,8,2004,Bokeo
50,2004-09,353.402,22.75,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,9,2004,Bokeo
51,2004-10,81.437,22.1,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,10,2004,Bokeo
52,2004-11,34.012,20.55,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,11,2004,Bokeo
53,2004-12,0.734,17.1,0.0,65121.486328125,-,Bokeo,0.0,65121.486328125,12,2004,Bokeo
